region,district,customers,avg_sales,median_sales,avg_orders,avg_emp,group
17,63433,278,2950.2327338129494,760.905,14.741007194244604,4.956834532374101,Nicht-ORSY
17,63433,24,14794.474166666667,15588.785,71.33333333333333,7.583333333333333,ORSY
17,63434,101,3542.0051485148515,817.99,15.613861386138614,4.306930693069307,Nicht-ORSY
17,63434,20,11182.841499999999,8326.555,45.25,4.0,ORSY
17,63502,163,2320.4532515337423,788.87,14.343558282208589,3.8650306748466257,Nicht-ORSY
17,63502,20,18039.2535,16166.96,82.35,6.3,ORSY
17,63511,119,2892.7540336134452,776.32,16.77310924369748,2.46218487394958,Nicht-ORSY
17,63511,15,13288.440666666665,12186.56,79.06666666666666,5.4,ORSY
17,64021,205,2579.420829268293,832.44,16.13658536585366,3.6682926829268294,Nicht-ORSY
17,64021,22,20767.99909090909,17924.58,112.31818181818181,6.818181818181818,ORSY
17,64094,238,3179.0143277310926,813.265,18.718487394957982,3.6848739495798317,Nicht-ORSY
17,64094,16,20440.0775,18542.945,72.5,5.0,ORSY
17,64107,148,2198.1848648648647,565.22,13.22972972972973,4.25,Nicht-ORSY
17,64107,11,24128.582727272726,18065.11,104.81818181818181,9.272727272727273,ORSY
17,64999,187,3403.985347593583,751.43,14.48663101604278,3.7593582887700534,Nicht-ORSY
17,64999,15,24106.906666666666,13479.64,93.33333333333333,7.266666666666667,ORSY
17,66001,224,3531.831696428572,1293.565,19.200892857142858,3.9598214285714284,Nicht-ORSY
17,66001,31,13658.516451612904,13340.85,62.193548387096776,5.096774193548387,ORSY
17,67001,8,1007.1175000000001,554.38,11.875,0.875,Nicht-ORSY
17,68299,126,3438.585634920635,490.69,12.88888888888889,2.865079365079365,Nicht-ORSY
17,68299,26,27869.138076923075,15622.93,85.34615384615384,6.153846153846154,ORSY
17,68346,139,1988.4546762589928,622.25,8.928057553956835,2.985611510791367,Nicht-ORSY
17,68346,11,29576.398181818182,15909.55,80.18181818181819,8.909090909090908,ORSY
17,68349,156,1825.054487179487,545.09,10.884615384615385,3.8141025641025643,Nicht-ORSY
17,68349,12,17131.2775,15795.57,83.58333333333333,5.25,ORSY
17,68355,110,1219.3457272727273,776.1949999999999,7.7727272727272725,4.2272727272727275,Nicht-ORSY
17,68355,1,55581.27,55581.27,226.0,8.0,ORSY
17,68361,177,1670.8736723163843,491.38,8.903954802259888,2.6779661016949152,Nicht-ORSY
17,68361,18,13403.973333333335,8858.41,55.77777777777778,3.2777777777777777,ORSY
18,61003,236,2620.038898305085,797.675,14.016949152542374,4.110169491525424,Nicht-ORSY
18,61003,16,22930.733125,14583.735,69.8125,5.25,ORSY
18,61270,160,2791.06725,937.135,15.29375,4.8,Nicht-ORSY
18,61270,12,33477.79416666667,25347.21,73.08333333333333,6.416666666666667,ORSY
18,62025,193,3352.392901554404,946.17,15.606217616580311,4.310880829015544,Nicht-ORSY
18,62025,23,30087.916521739127,18249.5,97.82608695652173,13.26086956521739,ORSY
18,63199,4,211.7925,220.61,1.75,1.25,Nicht-ORSY
18,63336,176,1928.94,717.29,10.596590909090908,4.1647727272727275,Nicht-ORSY
18,63336,10,17643.466,17239.87,74.7,6.9,ORSY
18,63338,178,3360.7629775280893,832.065,14.842696629213483,4.022471910112359,Nicht-ORSY
18,63338,15,22019.472,13694.08,100.4,7.933333333333334,ORSY
18,63347,199,3541.457889447236,1012.83,18.34673366834171,6.055276381909548,Nicht-ORSY
18,63347,27,20447.166296296295,14043.0,85.70370370370371,8.814814814814815,ORSY
18,63979,113,3024.8660176991148,619.77,10.858407079646017,5.929203539823009,Nicht-ORSY
18,63979,16,15783.169375,12621.46,61.4375,8.0625,ORSY
18,63980,136,2052.3315441176474,726.825,7.897058823529412,2.9558823529411766,Nicht-ORSY
18,63980,19,13331.495789473684,9801.56,42.94736842105263,5.473684210526316,ORSY
18,64076,196,3998.7192346938773,935.09,15.653061224489797,5.336734693877551,Nicht-ORSY
18,64076,21,31554.268571428573,17315.55,100.28571428571429,7.095238095238095,ORSY
18,64097,152,3429.659407894737,999.29,14.539473684210526,4.032894736842105,Nicht-ORSY
18,64097,24,21927.532083333335,13002.48,79.54166666666667,8.0,ORSY
18,64126,188,3489.3421808510634,1146.5949999999998,16.79787234042553,3.6861702127659575,Nicht-ORSY
18,64126,23,13122.84956521739,8205.31,68.56521739130434,6.0,ORSY
18,64988,136,3500.3260294117645,2025.24,19.455882352941178,3.7794117647058822,Nicht-ORSY
18,64988,36,13866.691388888888,9473.3,65.41666666666667,5.472222222222222,ORSY
18,65004,170,2664.080411764706,813.335,18.652941176470588,4.182352941176471,Nicht-ORSY
18,65004,20,15222.4235,7570.83,86.45,5.55,ORSY
18,66024,75,3302.421866666667,606.59,17.56,4.066666666666666,Nicht-ORSY
18,66024,4,24245.82,17021.34,100.75,12.0,ORSY
18,66100,173,2047.1719075144508,602.71,13.15606936416185,4.722543352601156,Nicht-ORSY
18,66100,12,23288.6875,21955.425000000003,94.25,9.75,ORSY
18,67011,47,753.5170212765958,410.66,7.361702127659575,1.9361702127659575,Nicht-ORSY
18,68334,180,2477.4599444444443,639.425,11.877777777777778,2.7,Nicht-ORSY
18,68334,11,23197.38818181818,9678.1,65.9090909090909,5.818181818181818,ORSY
18,68920,191,2126.831884816754,483.88,10.534031413612565,3.774869109947644,Nicht-ORSY
18,68920,7,24817.104285714282,9001.12,62.857142857142854,10.0,ORSY
